course_id,department_id
1,5
2,2
2,3
2,7
3,3
3,7
3,14
4,5
4,6
5,2
5,4
5,8
6,3
6,10
6,11
6,12
7,2
7,3
7,7
7,9
7,12
8,3
8,11
9,8
10,6
11,2
11,6
12,2
12,7
13,2
13,6
14,6
15,6
15,7
16,7
17,6
18,5
19,9
19,14
20,3
20,5
20,7
21,6
22,2
23,3
24,3
24,5
24,7
24,8
25,6
26,2
26,5
26,6
26,7
27,6
28,3
28,6
28,10
28,11
28,12
29,3
29,15
30,8
31,8
32,2
32,7
33,2
33,6
33,7
33,9
34,3
35,2
35,7
35,13
36,2
36,7
36,9
37,3
37,5
37,12
38,3
39,7
40,5
40,6
41,2
41,7
42,2
42,3
42,7
43,10
43,11
43,12
44,2
44,6
44,7
44,9
45,15
46,6
47,15
48,2
48,7
48,9
49,8
50,3
51,5
51,15
52,2
53,6
54,6
55,15
56,15
57,5
57,7
58,6
59,3
59,9
60,3
60,6
61,2
61,9
62,6
63,2
63,7
64,3
64,5
64,6
65,7
66,9
67,6
67,7
68,5
69,2
69,3
69,9
70,2
70,7
71,5
72,6
72,7
72,8
73,9
74,6
75,3
75,4
75,12
76,6
77,14
78,6
79,6
79,8
80,14
81,5
82,6
83,14
84,3
84,13
85,3
85,10
85,11
85,12
86,14
87,5
87,9
88,2
89,5
89,6
89,8
90,5
91,6
92,5
93,15
94,2
94,7
95,5
95,8
96,3
97,5
97,12
98,3
99,3
99,10
99,11
99,12
100,13
101,6
102,15
103,9
103,15
104,6
104,10
104,11
104,12
105,2
105,6
105,9
106,9
107,5
107,8
108,8
109,6
110,4
110,8
111,6
111,7
112,2
112,6
112,7
113,5
114,9
115,3
116,3
116,5
116,10
116,11
116,12
117,10
117,11
117,12
118,3
119,2
119,7
120,5
120,8
121,14
122,2
122,6
122,7
123,3
123,14
124,3
124,14
124,15
125,14
126,6
127,6
128,6
129,3
129,7
129,9
129,10
130,3
130,5
131,2
131,9
132,15
133,3
133,9
134,5
135,14
136,6
137,8
138,2
138,6
138,7
138,9
139,5
140,2
140,7
140,10
140,11
140,12
140,14
141,2
141,3
141,7
142,6
143,9
144,3
144,15
145,6
145,7
146,6
147,2
147,7
148,3
148,6
149,6
150,2
150,6
151,6
151,9
151,13
151,15
152,6
153,3
153,14
154,3
155,7
155,9
156,5
156,6
157,5
157,15
158,3
159,5
159,10
159,11
159,12
160,6
161,6
162,8
163,6
164,4
164,8
165,6
166,6
167,7
168,10
168,11
168,12
169,7
170,7
170,8
171,3
171,10
171,11
171,12
172,2
172,7
173,2
173,9
174,9
175,9
176,3
176,10
176,11
176,12
177,10
177,11
177,12
178,6
178,9
179,5
180,3
180,10
181,5
181,6
182,10
182,11
182,12
183,3
183,9
183,12
184,2
185,6
185,14
186,2
186,3
186,9
187,2
187,7
187,9
188,14
189,3
190,6
191,2
191,4
192,2
192,6
192,7
192,9
193,2
193,3
193,4
193,6
194,2
194,7
195,7
196,6
197,2
197,7
198,9
198,10
198,11
198,12
199,6
200,6
201,6
202,5
203,6
204,3
204,13
205,5
206,2
206,7
206,9
207,7
208,5
208,6
209,14
210,2
211,2
211,9
212,2
212,7
212,9
213,2
213,4
213,7
213,8
214,5
215,2
215,6
216,8
216,14
217,5
217,6
218,15
219,6
220,5
221,6
222,4
222,8
222,9
223,14
224,6
225,2
225,5
225,7
226,5
226,9
227,2
228,2
229,2
229,6
